Generation,ID,Annotation,Position,Population,t0,prevalence,Gene,allele_freq
200,9862436,background,1983490,Hypermutator,124,14502,g1984,0.014502
200,9897899,background,632626,Hypermutator,124,26027,g633,0.026027
200,9949147,beneficial,2414,Hypermutator,125,21589,g3,0.021589
200,10056565,background,10397,Hypermutator,126,14622,g11,0.014622
300,10070972,background,348032,Hypermutator,126,11123,g349,0.011123
300,10173780,background,2509158,Hypermutator,128,10702,g2510,0.010702
200,10257609,background,1666341,Hypermutator,129,13900,g1667,0.0139
200,10314603,background,442708,Hypermutator,130,11257,g443,0.011257
300,10883956,background,3477342,Hypermutator,137,85090,g3478,0.08509
300,11169630,background,882390,Hypermutator,140,123241,g883,0.123241
300,11544574,background,2335173,Hypermutator,145,12598,g2336,0.012598
300,11839016,background,406571,Hypermutator,149,15560,g407,0.01556
300,11924724,beneficial,83411,Hypermutator,150,258962,g84,0.258962
300,12029065,background,2996641,Hypermutator,151,12052,g2997,0.012052
300,12038465,beneficial,90121,Hypermutator,151,15560,g91,0.01556
300,12044416,background,1163635,Hypermutator,151,42981,g1164,0.042981
300,12342136,background,2490993,Hypermutator,155,10519,g2491,0.010519
300,12345909,background,1315718,Hypermutator,155,114744,g1316,0.114744
300,12511278,background,1948000,Hypermutator,157,31965,g1949,0.031965
300,12693511,beneficial,42003,Hypermutator,159,12052,g43,0.012052
400,12727428,background,2162737,Hypermutator,160,14622,g2163,0.014622
300,12790192,background,1912603,Hypermutator,160,46118,g1913,0.046118
300,13019742,background,2389421,Hypermutator,163,26834,g2390,0.026834
300,13091224,background,2122909,Hypermutator,164,18094,g2123,0.018094
300,13113894,background,3528890,Hypermutator,165,12984,g3529,0.012984
300,13199058,background,3367006,Hypermutator,166,62695,g3368,0.062695
300,13271265,background,2900402,Hypermutator,166,26834,g2901,0.026834
300,13353114,background,1796390,Hypermutator,168,19356,g1797,0.019356
300,13521683,background,3564423,Hypermutator,170,36263,g3565,0.036263
300,13893105,background,3817950,Hypermutator,174,84843,g3818,0.084843
400,14122475,background,3681147,Hypermutator,177,14622,g3682,0.014622
400,14163280,background,3282781,Hypermutator,178,14622,g3283,0.014622
300,14350474,background,2596551,Hypermutator,180,14234,g2597,0.014234
300,14544960,background,824374,Hypermutator,182,11543,g825,0.011543
300,14712702,beneficial,26265,Hypermutator,185,12147,g27,0.012147
300,15057514,background,1479320,Hypermutator,189,84716,g1480,0.084716
400,15106678,background,520057,Hypermutator,189,14622,g521,0.014622
300,15315332,background,584183,Hypermutator,192,12147,g585,0.012147
300,15447088,background,2978906,Hypermutator,194,62293,g2979,0.062293
300,15643623,background,602594,Hypermutator,196,62293,g603,0.062293
300,15701050,beneficial,5943,Hypermutator,197,62293,g6,0.062293
300,16517386,background,886731,Hypermutator,207,84698,g887,0.084698
300,17156124,background,3606001,Hypermutator,215,84698,g3607,0.084698
300,17588670,beneficial,96782,Hypermutator,220,84690,g97,0.08469
400,18097986,beneficial,19728,Hypermutator,227,14622,g20,0.014622
400,18387178,background,1271027,Hypermutator,230,175065,g1272,0.175065
400,18681315,background,3623500,Hypermutator,234,175065,g3624,0.175065
400,18737567,background,3929021,Hypermutator,235,14622,g3930,0.014622
400,18871293,background,3776493,Hypermutator,237,42850,g3777,0.04285
400,18904719,background,1740238,Hypermutator,237,17027,g1741,0.017027
400,18943543,background,1364287,Hypermutator,237,30012,g1365,0.030012
300,19159574,background,1869153,Hypermutator,240,10298,g1870,0.010298
400,19187840,background,2276050,Hypermutator,240,13769,g2277,0.013769
300,19191471,background,2510023,Hypermutator,241,16873,g2511,0.016873
400,19568581,neutral,207047,Hypermutator,245,42850,g208,0.04285
400,19606156,background,650455,Hypermutator,246,40632,g651,0.040632
400,19630549,background,3035909,Hypermutator,246,11301,g3036,0.011301
400,19796130,background,951827,Hypermutator,248,12478,g952,0.012478
400,19804787,background,3508307,Hypermutator,248,13917,g3509,0.013917
400,19816583,background,1982773,Hypermutator,248,11843,g1983,0.011843
400,19834825,background,709553,Hypermutator,249,16243,g710,0.016243
400,20017920,background,2202938,Hypermutator,251,18598,g2203,0.018598
400,20042092,background,40105,Hypermutator,251,13917,g41,0.013917
400,20112492,background,2569246,Hypermutator,252,21666,g2570,0.021666
400,20320819,background,2343581,Hypermutator,255,25737,g2344,0.025737
400,20392451,background,1670050,Hypermutator,256,18721,g1671,0.018721
400,20634705,background,1986167,Hypermutator,259,24859,g1987,0.024859
400,20824461,background,1358362,Hypermutator,261,15959,g1359,0.015959
400,20892147,background,3195753,Hypermutator,262,13402,g3196,0.013402
400,20956718,background,2279395,Hypermutator,263,10049,g2280,0.010049
400,20978337,background,2755458,Hypermutator,263,14501,g2756,0.014501
400,21264023,background,615094,Hypermutator,266,15497,g616,0.015497
400,21843450,background,382005,Hypermutator,274,10187,g383,0.010187
400,22029759,background,410895,Hypermutator,276,22162,g411,0.022162
400,22501758,background,490645,Hypermutator,282,112618,g491,0.112618
400,22707521,beneficial,4510,Hypermutator,284,112618,g5,0.112618
400,23351527,background,649109,Hypermutator,293,21671,g650,0.021671
400,23812044,background,2478269,Hypermutator,298,10667,g2479,0.010667
400,23886212,background,3521367,Hypermutator,299,21562,g3522,0.021562
400,23982782,beneficial,46993,Hypermutator,300,12263,g47,0.012263
400,24100510,background,2124996,Hypermutator,302,36971,g2125,0.036971
400,24515322,beneficial,26029,Hypermutator,307,21562,g27,0.021562
500,25082862,background,3274547,Hypermutator,314,847120,g3275,0.84712
500,26780485,background,3703743,Hypermutator,335,846833,g3704,0.846833
500,27716652,background,1531568,Hypermutator,347,846706,g1532,0.846706
500,28943999,background,2008316,Hypermutator,362,120954,g2009,0.120954
500,28959715,beneficial,84752,Hypermutator,363,846260,g85,0.84626
500,29641633,background,1052731,Hypermutator,371,844434,g1053,0.844434
500,29722217,background,2606881,Hypermutator,372,120933,g2607,0.120933
500,30068693,beneficial,70268,Hypermutator,376,120912,g71,0.120912
500,30815703,neutral,252305,Hypermutator,386,14158,g253,0.014158
500,31141191,background,683804,Hypermutator,390,22480,g684,0.02248
500,31150651,background,2728505,Hypermutator,390,170797,g2729,0.170797
500,31233057,background,3506930,Hypermutator,391,142710,g3507,0.14271
500,31251814,background,1755652,Hypermutator,391,18613,g1756,0.018613
500,31283815,background,2252990,Hypermutator,392,82169,g2253,0.082169
500,31326750,background,1964555,Hypermutator,392,21309,g1965,0.021309
500,31370105,background,1774671,Hypermutator,393,31877,g1775,0.031877
500,31417666,background,2893946,Hypermutator,393,30585,g2894,0.030585
500,31441007,background,2434310,Hypermutator,394,68799,g2435,0.068799
500,31614556,background,3231199,Hypermutator,396,24762,g3232,0.024762
500,31688671,background,3478990,Hypermutator,397,10294,g3479,0.010294
500,31836240,neutral,280267,Hypermutator,398,20700,g281,0.0207
500,31863029,background,1231502,Hypermutator,399,82169,g1232,0.082169
500,31888357,background,1066139,Hypermutator,399,33269,g1067,0.033269
500,31895420,background,3615994,Hypermutator,399,18938,g3616,0.018938
500,32061366,background,2903103,Hypermutator,401,10646,g2904,0.010646
500,32061367,background,2954090,Hypermutator,401,10646,g2955,0.010646
500,32075120,background,2667675,Hypermutator,401,33269,g2668,0.033269
500,32088869,background,1134952,Hypermutator,402,18489,g1135,0.018489
600,32131935,background,1043976,Hypermutator,402,31970,g1044,0.03197
500,32190970,neutral,286708,Hypermutator,403,27351,g287,0.027351
500,32200242,background,3017207,Hypermutator,403,68833,g3018,0.068833
500,32231911,neutral,253049,Hypermutator,403,11962,g254,0.011962
500,32265637,background,3683615,Hypermutator,404,11849,g3684,0.011849
500,32593571,background,3264582,Hypermutator,408,13475,g3265,0.013475
500,32596680,background,2647891,Hypermutator,408,15174,g2648,0.015174
600,33188801,background,2693389,Hypermutator,415,122514,g2694,0.122514
500,34141450,beneficial,23786,Hypermutator,427,57345,g24,0.057345
600,34637608,background,2474949,Hypermutator,434,46710,g2475,0.04671
600,34713124,background,788490,Hypermutator,434,122514,g789,0.122514
600,34757224,background,2602490,Hypermutator,435,46710,g2603,0.04671
600,35761045,background,647574,Hypermutator,448,44605,g648,0.044605
600,35955565,background,2381468,Hypermutator,450,22382,g2382,0.022382
600,35982317,background,712418,Hypermutator,450,10780,g713,0.01078
600,35986694,background,101632,Hypermutator,450,83350,g102,0.08335
600,36017935,background,2749859,Hypermutator,451,10275,g2750,0.010275
600,36055626,background,1529648,Hypermutator,451,122514,g1530,0.122514
600,36086249,background,3567675,Hypermutator,452,13683,g3568,0.013683
600,36212023,background,1037962,Hypermutator,453,31156,g1038,0.031156
600,36325325,background,2736113,Hypermutator,455,30884,g2737,0.030884
600,36478466,background,3275309,Hypermutator,457,14251,g3276,0.014251
600,36594597,background,1921329,Hypermutator,458,14251,g1922,0.014251
700,36669095,background,353432,Hypermutator,459,21593,g354,0.021593
600,36929120,background,2242971,Hypermutator,462,10202,g2243,0.010202
600,37073713,background,3192155,Hypermutator,464,10434,g3193,0.010434
600,37113918,background,437012,Hypermutator,464,10202,g438,0.010202
600,37265910,background,102585,Hypermutator,466,122514,g103,0.122514
600,37345028,background,3233973,Hypermutator,467,184873,g3234,0.184873
700,37400619,background,2076914,Hypermutator,468,21593,g2077,0.021593
700,37400620,background,3499218,Hypermutator,468,21593,g3500,0.021593
600,37408229,beneficial,83830,Hypermutator,468,28026,g84,0.028026
600,37566614,beneficial,18940,Hypermutator,470,122514,g19,0.122514
600,38002534,background,982407,Hypermutator,476,184180,g983,0.18418
600,38227022,background,309860,Hypermutator,478,122514,g310,0.122514
700,38397459,background,2261369,Hypermutator,481,21593,g2262,0.021593
600,38547240,beneficial,59734,Hypermutator,482,31956,g60,0.031956
700,38576386,background,306570,Hypermutator,483,21593,g307,0.021593
700,38576387,background,2836452,Hypermutator,483,21593,g2837,0.021593
600,38929213,beneficial,98182,Hypermutator,487,29193,g99,0.029193
600,39500507,background,813970,Hypermutator,494,22274,g814,0.022274
600,39619044,background,3821437,Hypermutator,496,15753,g3822,0.015753
700,39665106,background,3074518,Hypermutator,496,21593,g3075,0.021593
600,39886807,background,1223777,Hypermutator,499,32797,g1224,0.032797
600,40256310,background,1610099,Hypermutator,504,183026,g1611,0.183026
600,40336161,background,2262683,Hypermutator,505,183026,g2263,0.183026
600,40504138,background,2620072,Hypermutator,507,183026,g2621,0.183026
600,40571044,beneficial,24552,Hypermutator,508,183026,g25,0.183026
700,41529130,background,1397042,Hypermutator,520,21593,g1398,0.021593
600,41664597,background,2108181,Hypermutator,521,28064,g2109,0.028064
600,41698113,background,784980,Hypermutator,522,18714,g785,0.018714
700,41961203,background,1110415,Hypermutator,525,19237,g1111,0.019237
700,42174325,background,352960,Hypermutator,528,16847,g353,0.016847
700,42257053,background,955082,Hypermutator,529,17896,g956,0.017896
600,42306387,background,1172057,Hypermutator,529,18714,g1173,0.018714
700,42414664,background,724141,Hypermutator,531,19513,g725,0.019513
700,42462047,background,306707,Hypermutator,531,30901,g307,0.030901
700,42649844,background,1822498,Hypermutator,534,23188,g1823,0.023188
700,42656661,background,1329686,Hypermutator,534,78172,g1330,0.078172
700,42663112,background,2502635,Hypermutator,534,26984,g2503,0.026984
700,42742429,background,925286,Hypermutator,535,17896,g926,0.017896
700,42895264,background,31142,Hypermutator,537,26490,g32,0.02649
700,42923252,background,2535587,Hypermutator,537,19122,g2536,0.019122
700,42945571,background,1509385,Hypermutator,537,21593,g1510,0.021593
700,42976339,background,3576613,Hypermutator,538,20463,g3577,0.020463
700,43024539,background,3578961,Hypermutator,538,19399,g3579,0.019399
700,43074461,background,2940839,Hypermutator,539,31790,g2941,0.03179
700,43133875,background,1219838,Hypermutator,540,78172,g1220,0.078172
700,43185091,background,2219357,Hypermutator,540,10856,g2220,0.010856
700,43256217,background,1151019,Hypermutator,541,11115,g1152,0.011115
700,43267946,background,2156362,Hypermutator,541,10065,g2157,0.010065
700,43408605,background,1166254,Hypermutator,543,12297,g1167,0.012297
700,43509810,background,2585514,Hypermutator,544,21593,g2586,0.021593
700,43525601,background,2169590,Hypermutator,545,10241,g2170,0.010241
700,44052465,background,2802272,Hypermutator,551,21593,g2803,0.021593
700,44319289,background,422060,Hypermutator,555,68442,g423,0.068442
700,44503558,background,3569516,Hypermutator,557,21593,g3570,0.021593
700,44750203,background,1042955,Hypermutator,560,31784,g1043,0.031784
700,44758199,background,2062178,Hypermutator,560,23840,g2063,0.02384
700,44829242,background,583044,Hypermutator,561,16384,g584,0.016384
700,44837068,beneficial,23660,Hypermutator,561,10864,g24,0.010864
700,44875864,background,3730333,Hypermutator,561,23840,g3731,0.02384
700,44895232,beneficial,79087,Hypermutator,562,21593,g80,0.021593
700,45107109,background,320712,Hypermutator,564,31784,g321,0.031784
700,45396648,background,3089383,Hypermutator,568,16025,g3090,0.016025
700,45706377,beneficial,52101,Hypermutator,572,96100,g53,0.0961
700,45788697,background,2249369,Hypermutator,573,10864,g2250,0.010864
700,45812984,background,3298061,Hypermutator,573,21593,g3299,0.021593
700,45971482,background,2436990,Hypermutator,575,16025,g2437,0.016025
700,46090385,background,2105773,Hypermutator,577,31784,g2106,0.031784
700,46149582,beneficial,40856,Hypermutator,577,66366,g41,0.066366
700,46647387,background,1403033,Hypermutator,584,23463,g1404,0.023463
700,46708746,beneficial,55033,Hypermutator,584,31784,g56,0.031784
700,46798930,background,1788232,Hypermutator,586,11842,g1789,0.011842
700,46895291,beneficial,69964,Hypermutator,587,15839,g70,0.015839
700,47075944,background,2915357,Hypermutator,589,23463,g2916,0.023463
700,47152086,beneficial,65724,Hypermutator,590,23463,g66,0.023463
700,47405139,beneficial,54845,Hypermutator,593,27911,g55,0.027911
800,47712803,background,3117488,Hypermutator,597,11993,g3118,0.011993
700,47892672,background,2295052,Hypermutator,599,15464,g2296,0.015464
700,47996250,background,3675511,Hypermutator,600,28314,g3676,0.028314
700,48069623,background,2764478,Hypermutator,601,10493,g2765,0.010493
800,48462373,background,2696766,Hypermutator,606,11993,g2697,0.011993
700,48467721,background,1491853,Hypermutator,606,10665,g1492,0.010665
700,48681143,background,731727,Hypermutator,609,25892,g732,0.025892
800,48701478,background,1329916,Hypermutator,609,15402,g1330,0.015402
800,48774161,background,1115826,Hypermutator,610,325066,g1116,0.325066
800,48821470,background,2159434,Hypermutator,611,11993,g2160,0.011993
800,49026816,background,3497632,Hypermutator,613,14359,g3498,0.014359
800,49174376,background,3058182,Hypermutator,615,87302,g3059,0.087302
800,49249900,beneficial,92774,Hypermutator,616,11993,g93,0.011993
800,50829068,background,3117479,Hypermutator,636,14155,g3118,0.014155
800,51293677,background,2690245,Hypermutator,642,324900,g2691,0.3249
800,51449260,background,2915081,Hypermutator,644,87302,g2916,0.087302
800,51582238,beneficial,20236,Hypermutator,645,324900,g21,0.3249
800,51909339,background,1296509,Hypermutator,649,87302,g1297,0.087302
800,52006149,beneficial,20960,Hypermutator,651,87302,g21,0.087302
800,52433857,beneficial,43606,Hypermutator,656,435240,g44,0.43524
800,52727094,background,2034363,Hypermutator,660,35783,g2035,0.035783
800,52822870,background,363704,Hypermutator,661,10811,g364,0.010811
800,52851276,background,2712830,Hypermutator,661,321422,g2713,0.321422
800,52861527,background,3286122,Hypermutator,661,46990,g3287,0.04699
800,53266506,background,3160434,Hypermutator,666,111335,g3161,0.111335
800,53312962,background,2711461,Hypermutator,667,35783,g2712,0.035783
800,53366671,beneficial,68608,Hypermutator,668,14061,g69,0.014061
800,53400305,background,697301,Hypermutator,668,11055,g698,0.011055
800,53500373,beneficial,30988,Hypermutator,669,30444,g31,0.030444
800,53600234,background,1329518,Hypermutator,671,20895,g1330,0.020895
800,53736482,background,1030008,Hypermutator,672,20895,g1031,0.020895
800,53836148,background,3875991,Hypermutator,674,10891,g3876,0.010891
800,53907939,background,3020914,Hypermutator,674,37317,g3021,0.037317
800,53936668,background,2996132,Hypermutator,675,16818,g2997,0.016818
800,53941187,beneficial,34192,Hypermutator,675,135466,g35,0.135466
800,54074607,background,3361135,Hypermutator,676,20895,g3362,0.020895
800,54244937,background,414028,Hypermutator,679,19643,g415,0.019643
800,54271709,background,3541069,Hypermutator,679,21491,g3542,0.021491
800,54355714,background,2974129,Hypermutator,680,56327,g2975,0.056327
800,54408743,background,2793784,Hypermutator,681,11273,g2794,0.011273
800,54411218,background,2779113,Hypermutator,681,10966,g2780,0.010966
800,54605425,background,686681,Hypermutator,683,47436,g687,0.047436
800,54612736,background,3175524,Hypermutator,683,10778,g3176,0.010778
800,54670444,background,1217689,Hypermutator,684,14671,g1218,0.014671
800,54742652,background,894289,Hypermutator,685,16958,g895,0.016958
800,54789028,background,3732488,Hypermutator,685,19154,g3733,0.019154
800,54954399,neutral,267330,Hypermutator,687,16958,g268,0.016958
800,55054318,background,744643,Hypermutator,689,10778,g745,0.010778
800,55079107,background,3537574,Hypermutator,689,28282,g3538,0.028282
800,55269543,background,2623926,Hypermutator,691,13567,g2624,0.013567
800,55839867,background,1043334,Hypermutator,699,18363,g1044,0.018363
800,56315752,background,1615476,Hypermutator,704,13058,g1616,0.013058
800,57018530,background,1983269,Hypermutator,713,50445,g1984,0.050445
800,57249581,background,1134171,Hypermutator,716,50028,g1135,0.050028
800,57994567,beneficial,46330,Hypermutator,725,50028,g47,0.050028
800,58338712,background,3350830,Hypermutator,730,45833,g3351,0.045833
900,59957156,background,3182063,Hypermutator,750,970522,g3183,0.970522
800,60112030,neutral,236109,Hypermutator,752,10630,g237,0.01063
900,60744951,background,1855482,Hypermutator,760,13757,g1856,0.013757
900,61224844,beneficial,49418,Hypermutator,766,13757,g50,0.013757
900,61755351,background,1484951,Hypermutator,772,13757,g1485,0.013757
900,61949001,neutral,271198,Hypermutator,775,12294,g272,0.012294
900,62344091,beneficial,82534,Hypermutator,780,967007,g83,0.967007
900,63061709,background,391791,Hypermutator,789,106935,g392,0.106935
900,63362842,background,1644901,Hypermutator,793,81551,g1645,0.081551
900,63556695,background,1311678,Hypermutator,795,81551,g1312,0.081551
900,63703728,neutral,217349,Hypermutator,797,31284,g218,0.031284
900,63901613,background,2939983,Hypermutator,799,13974,g2940,0.013974
900,64066392,background,647698,Hypermutator,801,13375,g648,0.013375
900,64102831,background,2786866,Hypermutator,802,28259,g2787,0.028259
900,64113163,background,2815508,Hypermutator,802,32031,g2816,0.032031
900,64130977,background,2315969,Hypermutator,802,11492,g2316,0.011492
1000,64158349,background,3583759,Hypermutator,803,186297,g3584,0.186297
900,64171459,background,2392813,Hypermutator,803,19148,g2393,0.019148
900,64181332,neutral,251707,Hypermutator,803,17566,g252,0.017566
900,64384432,background,712635,Hypermutator,805,11127,g713,0.011127
1000,64495759,background,1184054,Hypermutator,807,186297,g1185,0.186297
900,64526888,background,34897,Hypermutator,807,19600,g35,0.0196
900,64538813,background,378545,Hypermutator,807,11170,g379,0.01117
1000,64559346,background,2118624,Hypermutator,808,186297,g2119,0.186297
900,64601100,background,1639615,Hypermutator,808,15072,g1640,0.015072
1000,64848268,background,1800360,Hypermutator,811,19410,g1801,0.01941
900,64872553,background,642838,Hypermutator,811,11586,g643,0.011586
1000,65201937,background,2790217,Hypermutator,816,18822,g2791,0.018822
1000,65495985,background,1676909,Hypermutator,819,18724,g1677,0.018724
1000,66186716,background,958845,Hypermutator,828,18724,g959,0.018724
1000,66644017,background,2485681,Hypermutator,834,18724,g2486,0.018724
1000,66668888,background,2607417,Hypermutator,834,185154,g2608,0.185154
1000,67057172,beneficial,54979,Hypermutator,839,24577,g55,0.024577
1000,67323950,beneficial,8702,Hypermutator,842,110056,g9,0.110056
1000,67419356,background,1699325,Hypermutator,843,23989,g1700,0.023989
1000,67430119,beneficial,22284,Hypermutator,843,555644,g23,0.555644
1000,67507177,background,1635663,Hypermutator,844,23989,g1636,0.023989
1000,67523482,background,2517735,Hypermutator,845,185154,g2518,0.185154
1000,67784051,beneficial,35565,Hypermutator,848,18724,g36,0.018724
1000,67784052,background,3309543,Hypermutator,848,18724,g3310,0.018724
1000,68525234,background,3693545,Hypermutator,857,185154,g3694,0.185154
1000,68774958,background,333128,Hypermutator,860,10720,g334,0.01072
1000,68795563,background,3201100,Hypermutator,861,52338,g3202,0.052338
1000,68838205,background,3482198,Hypermutator,861,185154,g3483,0.185154
1000,68876719,background,528060,Hypermutator,862,11024,g529,0.011024
1000,68913714,background,1637457,Hypermutator,862,16020,g1638,0.01602
1000,68913715,background,2559227,Hypermutator,862,16020,g2560,0.01602
1000,68937171,beneficial,53780,Hypermutator,862,11686,g54,0.011686
1000,68937172,background,424492,Hypermutator,862,11686,g425,0.011686
1000,68946427,background,3488231,Hypermutator,862,18851,g3489,0.018851
1000,69087129,background,3717072,Hypermutator,864,12431,g3718,0.012431
1000,69093137,background,3507344,Hypermutator,864,11169,g3508,0.011169
1000,69111857,background,2016791,Hypermutator,864,101592,g2017,0.101592
1000,69308357,background,2042785,Hypermutator,867,24332,g2043,0.024332
1000,69337775,background,3471893,Hypermutator,867,17054,g3472,0.017054
1000,69376005,background,3077839,Hypermutator,868,15561,g3078,0.015561
1000,69509206,background,738997,Hypermutator,869,12758,g739,0.012758
1000,69537778,background,2910250,Hypermutator,870,19631,g2911,0.019631
1000,69568374,background,1463092,Hypermutator,870,20604,g1464,0.020604
1000,69598747,beneficial,66063,Hypermutator,871,185154,g67,0.185154
1000,69735820,background,2012964,Hypermutator,872,15561,g2013,0.015561
1000,69739519,beneficial,23697,Hypermutator,872,17399,g24,0.017399
1000,69871720,background,1727309,Hypermutator,874,13715,g1728,0.013715
1000,70249527,background,3916917,Hypermutator,879,10559,g3917,0.010559
1000,70587970,background,778547,Hypermutator,883,10879,g779,0.010879
1000,70595236,background,2728361,Hypermutator,883,15273,g2729,0.015273
1000,71002984,beneficial,53923,Hypermutator,888,13312,g54,0.013312
1000,71067998,background,1782826,Hypermutator,889,10559,g1783,0.010559
1000,71201204,background,3583674,Hypermutator,891,13714,g3584,0.013714
1000,71490008,background,634684,Hypermutator,894,83019,g635,0.083019
1000,71843340,background,2325789,Hypermutator,899,13714,g2326,0.013714
1000,72098745,background,1220046,Hypermutator,902,24722,g1221,0.024722
1000,72238628,beneficial,98071,Hypermutator,904,83019,g99,0.083019
1000,72766420,background,2709288,Hypermutator,910,10645,g2710,0.010645
1000,72801007,background,3070583,Hypermutator,911,10215,g3071,0.010215
1000,72876777,neutral,216246,Hypermutator,912,10215,g217,0.010215
1000,73049340,background,1836850,Hypermutator,914,10090,g1837,0.01009
1100,73433994,background,664727,Hypermutator,919,23137,g665,0.023137
1100,73992588,background,2697176,Hypermutator,926,124407,g2698,0.124407
1100,74058493,background,2586359,Hypermutator,926,20743,g2587,0.020743
1000,74063514,background,1972813,Hypermutator,926,21580,g1973,0.02158
1100,74115633,background,3902084,Hypermutator,927,12783,g3903,0.012783
1100,74123287,beneficial,33887,Hypermutator,927,74756,g34,0.074756
1100,74305310,background,3879780,Hypermutator,929,14773,g3880,0.014773
1100,74337164,background,606166,Hypermutator,930,12783,g607,0.012783
1000,74430532,background,2466664,Hypermutator,931,10468,g2467,0.010468
1000,74489844,beneficial,79588,Hypermutator,932,10468,g80,0.010468
1100,74659879,background,3040462,Hypermutator,934,13298,g3041,0.013298
1100,74794012,background,2515547,Hypermutator,936,12633,g2516,0.012633
1100,74886932,background,1960610,Hypermutator,937,74016,g1961,0.074016
1100,75611570,background,1272680,Hypermutator,946,46761,g1273,0.046761
1100,76102551,background,1116193,Hypermutator,952,45852,g1117,0.045852
1100,76306976,background,148269,Hypermutator,954,76603,g149,0.076603
1100,76438809,background,2751419,Hypermutator,956,11854,g2752,0.011854
1100,76480960,beneficial,57471,Hypermutator,957,124407,g58,0.124407
1100,76533114,background,2266711,Hypermutator,957,67268,g2267,0.067268
1200,76650394,background,2994593,Hypermutator,959,17653,g2995,0.017653
1100,76737516,background,3342730,Hypermutator,960,70678,g3343,0.070678
1100,76999551,background,1261387,Hypermutator,963,13797,g1262,0.013797
1100,77110154,background,2988034,Hypermutator,964,19090,g2989,0.01909
1100,77383900,background,2590789,Hypermutator,968,12908,g2591,0.012908
1100,77444902,background,1041796,Hypermutator,969,12610,g1042,0.01261
1200,77566936,background,2373864,Hypermutator,970,51474,g2374,0.051474
1100,77778225,background,2132148,Hypermutator,973,12058,g2133,0.012058
1100,77784690,background,3373345,Hypermutator,973,10653,g3374,0.010653
1100,77843748,background,2361482,Hypermutator,974,16695,g2362,0.016695
1100,78101539,background,1423360,Hypermutator,977,10653,g1424,0.010653
1200,78145639,background,518857,Hypermutator,977,434853,g519,0.434853
1200,78180756,background,3182541,Hypermutator,978,17653,g3183,0.017653
1100,78950196,background,493264,Hypermutator,987,10595,g494,0.010595
1200,79461179,background,1841355,Hypermutator,994,11490,g1842,0.01149
1200,80002278,background,3618368,Hypermutator,1001,17653,g3619,0.017653
1200,80338530,background,3024122,Hypermutator,1005,467418,g3025,0.467418
1200,80476035,background,2145729,Hypermutator,1007,17653,g2146,0.017653
1200,80516734,beneficial,93094,Hypermutator,1007,434841,g94,0.434841
1200,80516735,background,1437899,Hypermutator,1007,434841,g1438,0.434841
1200,80708222,background,473850,Hypermutator,1009,17653,g474,0.017653
1200,80812605,background,1149276,Hypermutator,1011,43576,g1150,0.043576
1200,81384104,background,1747742,Hypermutator,1018,434822,g1748,0.434822
